2024-07-18 08:41:52 Line: 11, : Request start: ::1
2024-07-18 08:41:53 Line: 376, APISubiektGT\SubiektGT\Product->getStocks: Pobrano stany magazynowe
2024-07-18 08:41:53 Line: 104, APISubiektGT\SubiektGT\Product->getStocks: Request finish: ::1
2024-07-18 09:17:01 Line: 11, : Request start: ::1
2024-07-18 09:17:18 Line: 11, : Request start: ::1
2024-07-18 09:17:37 Line: 11, : Request start: ::1
2024-07-18 09:19:02 Line: 11, : Request start: ::1
2024-07-18 09:19:29 Line: 11, : Request start: ::1
2024-07-18 09:25:25 Line: 11, : Request start: ::1
2024-07-18 09:26:11 Line: 11, : Request start: ::1
2024-07-18 09:26:12 Line: 104, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2024-07-18 09:26:12 Line: 104, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2024-07-18 09:26:41 Line: 11, : Request start: ::1
2024-07-18 09:26:41 Line: 376, APISubiektGT\SubiektGT\Product->getStocks: Pobrano stany magazynowe
2024-07-18 09:26:41 Line: 104, APISubiektGT\SubiektGT\Product->getStocks: Request finish: ::1
2024-07-18 09:27:21 Line: 11, : Request start: ::1
2024-07-18 09:27:22 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: EA00021
2024-07-18 09:27:22 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:27:23 Line: 11, : Request start: ::1
2024-07-18 09:27:23 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: FOX006
2024-07-18 09:27:23 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:27:24 Line: 11, : Request start: ::1
2024-07-18 09:27:25 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: IW0006
2024-07-18 09:27:25 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:27:25 Line: 11, : Request start: ::1
2024-07-18 09:27:26 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: EA00013
2024-07-18 09:27:26 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:27:26 Line: 11, : Request start: ::1
2024-07-18 09:27:27 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: EA00015
2024-07-18 09:27:27 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:27:28 Line: 11, : Request start: ::1
2024-07-18 09:27:29 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: FOX001
2024-07-18 09:27:29 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:27:30 Line: 11, : Request start: ::1
2024-07-18 09:27:30 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: IW0023
2024-07-18 09:27:30 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:27:31 Line: 11, : Request start: ::1
2024-07-18 09:27:32 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: IW0022
2024-07-18 09:27:32 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:27:32 Line: 11, : Request start: ::1
2024-07-18 09:27:33 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: IW0052
2024-07-18 09:27:33 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:27:34 Line: 11, : Request start: ::1
2024-07-18 09:27:34 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: FOX002
2024-07-18 09:27:34 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:27:35 Line: 11, : Request start: ::1
2024-07-18 09:27:36 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: IW0010
2024-07-18 09:27:36 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:27:36 Line: 11, : Request start: ::1
2024-07-18 09:27:37 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: EA00011
2024-07-18 09:27:37 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:27:37 Line: 11, : Request start: ::1
2024-07-18 09:27:38 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: EA00014
2024-07-18 09:27:38 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:27:39 Line: 11, : Request start: ::1
2024-07-18 09:27:39 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: IW0015
2024-07-18 09:27:39 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:27:40 Line: 11, : Request start: ::1
2024-07-18 09:27:40 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: IW0054
2024-07-18 09:27:40 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:27:41 Line: 11, : Request start: ::1
2024-07-18 09:27:42 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: IW0016
2024-07-18 09:27:42 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:27:43 Line: 11, : Request start: ::1
2024-07-18 09:27:43 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: IW0020
2024-07-18 09:27:43 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:27:44 Line: 11, : Request start: ::1
2024-07-18 09:27:45 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: FOX007
2024-07-18 09:27:45 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:27:46 Line: 11, : Request start: ::1
2024-07-18 09:27:46 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: FOX005
2024-07-18 09:27:46 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:27:47 Line: 11, : Request start: ::1
2024-07-18 09:27:47 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: FOX003
2024-07-18 09:27:47 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:27:48 Line: 11, : Request start: ::1
2024-07-18 09:27:48 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: EA00012
2024-07-18 09:27:48 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:27:49 Line: 11, : Request start: ::1
2024-07-18 09:27:49 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: IW0012
2024-07-18 09:27:49 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:27:50 Line: 11, : Request start: ::1
2024-07-18 09:27:51 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: IW0005
2024-07-18 09:27:51 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:27:51 Line: 11, : Request start: ::1
2024-07-18 09:27:52 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: IW0021
2024-07-18 09:27:52 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:27:52 Line: 11, : Request start: ::1
2024-07-18 09:27:53 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: IW0003
2024-07-18 09:27:53 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:27:54 Line: 11, : Request start: ::1
2024-07-18 09:27:54 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: IW0004
2024-07-18 09:27:54 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:27:55 Line: 11, : Request start: ::1
2024-07-18 09:27:55 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: IW0051
2024-07-18 09:27:55 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:27:56 Line: 11, : Request start: ::1
2024-07-18 09:27:57 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: IW0002
2024-07-18 09:27:57 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:27:57 Line: 11, : Request start: ::1
2024-07-18 09:27:58 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: IW0011
2024-07-18 09:27:58 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:27:59 Line: 11, : Request start: ::1
2024-07-18 09:27:59 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: EA00016
2024-07-18 09:27:59 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:28:00 Line: 11, : Request start: ::1
2024-07-18 09:28:01 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: IW0053
2024-07-18 09:28:01 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:28:02 Line: 11, : Request start: ::1
2024-07-18 09:28:02 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: IW0050
2024-07-18 09:28:02 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:28:03 Line: 11, : Request start: ::1
2024-07-18 09:28:03 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: IW0013
2024-07-18 09:28:03 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:28:04 Line: 11, : Request start: ::1
2024-07-18 09:28:05 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: FOX004
2024-07-18 09:28:05 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:28:05 Line: 11, : Request start: ::1
2024-07-18 09:28:06 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: IW0061
2024-07-18 09:28:06 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:28:07 Line: 11, : Request start: ::1
2024-07-18 09:28:07 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: IW0059
2024-07-18 09:28:07 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:28:07 Line: 11, : Request start: ::1
2024-07-18 09:28:08 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: MGFOX3
2024-07-18 09:28:08 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:28:08 Line: 11, : Request start: ::1
2024-07-18 09:28:09 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: MGFOX1
2024-07-18 09:28:09 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:28:09 Line: 11, : Request start: ::1
2024-07-18 09:28:10 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: MGFOX2
2024-07-18 09:28:10 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:28:10 Line: 11, : Request start: ::1
2024-07-18 09:28:10 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: MGFOX4
2024-07-18 09:28:10 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-18 09:28:11 Line: 11, : Request start: ::1
2024-07-18 09:28:12 Line: 327, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: FOX008
2024-07-18 09:28:12 Line: 104, APISubiektGT\SubiektGT\product->update: Request finish: ::1
