2024-04-07 09:15:30 Line: 11, : Request start: ::1
2024-04-07 09:15:35 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 1
2024-04-07 09:15:35 Line: 95, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2024-04-07 09:16:15 Line: 11, : Request start: ::1
2024-04-07 09:16:16 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 1
2024-04-07 09:16:16 Line: 95, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2024-04-07 13:57:23 Line: 11, : Request start: ::1
2024-04-07 14:10:13 Line: 11, : Request start: ::1
2024-04-07 14:10:14 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2024-04-07 14:10:14 Line: 95, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2024-04-07 14:10:21 Line: 11, : Request start: ::1
2024-04-07 14:10:22 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 1
2024-04-07 14:10:22 Line: 95, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2024-04-07 14:10:30 Line: 11, : Request start: ::1
2024-04-07 14:10:30 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2024-04-07 14:10:30 Line: 95, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2024-04-07 14:10:41 Line: 11, : Request start: ::1
2024-04-07 14:10:42 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 1
2024-04-07 14:10:42 Line: 95, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2024-04-07 14:24:11 Line: 11, : Request start: ::1
2024-04-07 14:24:11 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2024-04-07 14:24:11 Line: 95, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2024-04-07 14:25:29 Line: 11, : Request start: ::1
2024-04-07 14:26:07 Line: 11, : Request start: ::1
2024-04-07 14:26:07 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 1
2024-04-07 14:26:07 Line: 95, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2024-04-07 14:26:32 Line: 11, : Request start: ::1
2024-04-07 14:26:34 Line: 146, APISubiektGT\SubiektGT\Customer->add: Utworzono klienta od klienta: OTDRCUST 5431884
2024-04-07 14:26:34 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2024-04-07 14:27:41 Line: 11, : Request start: ::1
2024-04-07 14:27:41 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2024-04-07 14:41:51 Line: 11, : Request start: ::1
2024-04-07 14:41:51 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2024-04-07 14:43:43 Line: 11, : Request start: ::1
2024-04-07 14:43:48 Line: 11, : Request start: ::1
2024-04-07 14:43:48 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2024-04-07 14:46:28 Line: 11, : Request start: ::1
2024-04-07 14:46:28 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2024-04-07 14:46:40 Line: 11, : Request start: ::1
2024-04-07 14:46:40 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2024-04-07 14:46:40 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 5
2024-04-07 14:46:40 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: MG1
2024-04-07 14:46:40 Line: 291, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: ZK 1/2024
2024-04-07 14:46:40 Line: 95, APISubiektGT\SubiektGT\order->add: Request finish: ::1
2024-04-07 15:06:46 Line: 11, : Request start: ::1
2024-04-07 15:06:52 Line: 58, APISubiektGT\SubiektGT\Document->getPdf: Wygenerowano pdf dokumentu: FS 1/2024
2024-04-07 15:06:52 Line: 95, APISubiektGT\SubiektGT\document->getpdf: Request finish: ::1
2024-04-07 15:07:30 Line: 11, : Request start: ::1
2024-04-07 15:07:32 Line: 58, APISubiektGT\SubiektGT\Document->getPdf: Wygenerowano pdf dokumentu: ZK 1/2024
2024-04-07 15:07:32 Line: 95, APISubiektGT\SubiektGT\document->getpdf: Request finish: ::1
