2024-04-08 16:04:16 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 5
2024-04-08 16:04:16 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: MG1
2024-04-08 16:04:16 Line: 291, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: ZK 3/2024
2024-04-08 16:04:16 Line: 95, APISubiektGT\SubiektGT\order->add: Request finish: ::1
2024-04-08 16:05:36 Line: 11, : Request start: ::1
2024-04-08 16:05:36 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 1
2024-04-08 16:05:36 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 5
2024-04-08 16:05:36 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: MG1
2024-04-08 16:05:37 Line: 291, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: ZK 4/2024
2024-04-08 16:05:37 Line: 95, APISubiektGT\SubiektGT\order->add: Request finish: ::1
2024-04-08 16:06:40 Line: 11, : Request start: ::1
2024-04-08 16:06:40 Line: 146, APISubiektGT\SubiektGT\Customer->add: Utworzono klienta od klienta: 9223061811
2024-04-08 16:06:40 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 3
2024-04-08 16:06:41 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 5
2024-04-08 16:06:41 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: MG1
2024-04-08 16:06:41 Line: 291, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: ZK 5/2024
2024-04-08 16:06:41 Line: 95, APISubiektGT\SubiektGT\order->add: Request finish: ::1
2024-04-08 16:07:46 Line: 11, : Request start: ::1
2024-04-08 16:07:47 Line: 154, APISubiektGT\SubiektGT\Order->makeSaleDoc: Utworzono dokument sprzedaży: FS 3/2024
2024-04-08 16:07:47 Line: 95, APISubiektGT\SubiektGT\order->makesaledoc: Request finish: ::1
2024-04-08 16:08:00 Line: 11, : Request start: ::1
2024-04-08 16:08:00 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 14
2024-04-08 16:08:00 Line: 95, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2024-04-08 16:08:36 Line: 11, : Request start: ::1
2024-04-08 16:08:36 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 14
2024-04-08 16:08:36 Line: 95, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2024-04-08 16:14:11 Line: 11, : Request start: ::1
2024-04-08 16:14:11 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 3
2024-04-08 16:14:11 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 5
2024-04-08 16:14:11 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: MG1
2024-04-08 16:14:11 Line: 291, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: ZK 6/2024
2024-04-08 16:14:11 Line: 95, APISubiektGT\SubiektGT\order->add: Request finish: ::1
2024-04-08 16:14:49 Line: 11, : Request start: ::1
2024-04-08 16:14:49 Line: 154, APISubiektGT\SubiektGT\Order->makeSaleDoc: Utworzono dokument sprzedaży: FS 4/2024
2024-04-08 16:14:49 Line: 95, APISubiektGT\SubiektGT\order->makesaledoc: Request finish: ::1
2024-04-08 16:15:14 Line: 11, : Request start: ::1
2024-04-08 16:15:16 Line: 58, APISubiektGT\SubiektGT\Document->getPdf: Wygenerowano pdf dokumentu: FS 4/2024
2024-04-08 16:15:16 Line: 95, APISubiektGT\SubiektGT\document->getpdf: Request finish: ::1
2024-04-08 16:17:45 Line: 11, : Request start: ::1
2024-04-08 16:17:45 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2024-04-08 16:17:45 Line: 95, APISubiektGT\SubiektGT\order->get: Request finish: ::1
2024-04-08 16:18:10 Line: 11, : Request start: ::1
2024-04-08 16:18:10 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 17
2024-04-08 16:18:10 Line: 95, APISubiektGT\SubiektGT\order->get: Request finish: ::1
2024-04-08 16:25:31 Line: 11, : Request start: ::1
2024-04-08 16:25:31 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 17
2024-04-08 16:25:31 Line: 95, APISubiektGT\SubiektGT\order->get: Request finish: ::1
2024-04-08 16:26:07 Line: 11, : Request start: ::1
2024-04-08 16:26:07 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 18
2024-04-08 16:26:07 Line: 95, APISubiektGT\SubiektGT\order->get: Request finish: ::1
2024-04-08 16:26:29 Line: 11, : Request start: ::1
2024-04-08 16:26:29 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 21
2024-04-08 16:26:29 Line: 95, APISubiektGT\SubiektGT\order->get: Request finish: ::1
