2024-07-26 09:33:38 Line: 11, : Request start: ::1
2024-07-26 09:33:39 Line: 104, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2024-07-26 09:33:39 Line: 104, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2024-07-26 09:37:25 Line: 11, : Request start: ::1
2024-07-26 09:37:26 Line: 376, APISubiektGT\SubiektGT\Product->getStocks: Pobrano stany magazynowe
2024-07-26 09:37:26 Line: 104, APISubiektGT\SubiektGT\Product->getStocks: Request finish: ::1
2024-07-26 09:40:15 Line: 11, : Request start: ::1
2024-07-26 09:40:47 Line: 11, : Request start: ::1
2024-07-26 09:41:35 Line: 11, : Request start: ::1
2024-07-26 09:43:44 Line: 11, : Request start: ::1
2024-07-26 09:45:29 Line: 11, : Request start: ::1
2024-07-26 09:45:35 Line: 11, : Request start: ::1
2024-07-26 09:45:57 Line: 11, : Request start: ::1
2024-07-26 09:46:03 Line: 112, APISubiektGT\SubiektGT\Customer->getAllCustomers: Request finish: ::1
2024-07-26 09:46:30 Line: 11, : Request start: ::1
2024-07-26 09:46:51 Line: 11, : Request start: ::1
2024-07-26 09:53:56 Line: 11, : Request start: ::1
2024-07-26 09:54:06 Line: 11, : Request start: ::1
2024-07-26 09:59:43 Line: 11, : Request start: ::1
2024-07-26 10:00:13 Line: 11, : Request start: ::1
2024-07-26 10:00:27 Line: 11, : Request start: ::1
2024-07-26 10:00:51 Line: 11, : Request start: ::1
2024-07-26 10:00:53 Line: 112, APISubiektGT\SubiektGT\Customer->getAllCustomers: Request finish: ::1
2024-07-26 10:01:13 Line: 11, : Request start: ::1
2024-07-26 10:01:14 Line: 112, APISubiektGT\SubiektGT\Customer->getAllCustomers: Request finish: ::1
2024-07-26 10:23:42 Line: 11, : Request start: ::1
2024-07-26 10:23:54 Line: 112, APISubiektGT\SubiektGT\Customer->getAllCustomers: Request finish: ::1
2024-07-26 10:27:22 Line: 11, : Request start: ::1
2024-07-26 10:27:33 Line: 112, APISubiektGT\SubiektGT\Customer->getAllCustomers: Request finish: ::1
