2024-09-23 18:36:55 Line: 11, : Request start: ::1
2024-09-23 18:38:16 Line: 11, : Request start: ::1
2024-09-23 18:40:08 Line: 11, : Request start: ::1
2024-09-23 18:40:53 Line: 11, : Request start: ::1
2024-09-23 18:40:59 Line: 104, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2024-09-23 18:40:59 Line: 112, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2024-09-23 19:56:26 Line: 11, : Request start: ::1
2024-09-23 19:56:26 Line: 376, APISubiektGT\SubiektGT\Product->getStocks: Pobrano stany magazynowe
2024-09-23 19:56:26 Line: 112, APISubiektGT\SubiektGT\Product->getStocks: Request finish: ::1
2024-09-23 21:24:32 Line: 11, : Request start: ::1
2024-09-23 21:24:43 Line: 11, : Request start: ::1
2024-09-23 21:24:43 Line: 104, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2024-09-23 21:24:43 Line: 112, APISubiektGT\SubiektGT\document->get: Request finish: ::1
