2024-07-05 08:58:12 Line: 11, : Request start: ::1
2024-07-05 08:58:13 Line: 102, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 5
2024-07-05 08:58:13 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: ::1
2024-07-05 09:07:35 Line: 11, : Request start: ::1
2024-07-05 09:07:35 Line: 280, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: MG1
2024-07-05 09:07:35 Line: 95, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-05 09:07:59 Line: 11, : Request start: ::1
2024-07-05 09:08:00 Line: 280, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: MG1
2024-07-05 09:08:00 Line: 95, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-05 09:08:20 Line: 11, : Request start: ::1
2024-07-05 09:08:20 Line: 280, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: MG1
2024-07-05 09:08:20 Line: 95, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-05 09:08:28 Line: 11, : Request start: ::1
2024-07-05 09:08:28 Line: 95, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-05 09:08:40 Line: 11, : Request start: ::1
2024-07-05 09:08:40 Line: 280, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: MG1
2024-07-05 09:08:40 Line: 95, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-05 09:08:57 Line: 11, : Request start: ::1
2024-07-05 09:08:58 Line: 280, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: MG1
2024-07-05 09:08:58 Line: 95, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2024-07-05 09:26:49 Line: 11, : Request start: ::1
2024-07-05 09:26:50 Line: 102, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 5
2024-07-05 09:26:50 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: ::1
2024-07-05 09:27:41 Line: 11, : Request start: ::1
2024-07-05 09:27:42 Line: 178, APISubiektGT\SubiektGT\Product->getPriceCalculations: Pobrano kalkulacje cen: MG1
2024-07-05 09:27:42 Line: 95, APISubiektGT\SubiektGT\product->getPriceCalculations: Request finish: ::1
2024-07-05 09:27:53 Line: 11, : Request start: ::1
