2024-07-04 14:33:04 Line: 11, : Request start: ::1
2024-07-04 14:33:16 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2024-07-04 14:33:16 Line: 95, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2024-07-04 15:50:27 Line: 11, : Request start: ::1
2024-07-04 15:50:29 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 14
2024-07-04 15:50:29 Line: 95, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2024-07-04 15:52:33 Line: 11, : Request start: ::1
2024-07-04 15:52:33 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 5
2024-07-04 15:52:33 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: ::1
2024-07-04 15:53:16 Line: 11, : Request start: ::1
2024-07-04 15:53:16 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 5
2024-07-04 15:53:16 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: ::1
2024-07-04 15:53:23 Line: 11, : Request start: ::1
2024-07-04 15:53:23 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 5
2024-07-04 15:53:23 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: ::1
2024-07-04 15:54:17 Line: 11, : Request start: ::1
2024-07-04 15:54:17 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 5
2024-07-04 15:54:17 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: ::1
2024-07-04 15:55:37 Line: 11, : Request start: ::1
2024-07-04 15:55:38 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 5
2024-07-04 15:55:38 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: ::1
2024-07-04 15:55:46 Line: 11, : Request start: ::1
2024-07-04 15:55:46 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 5
2024-07-04 15:55:46 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: ::1
2024-07-04 15:55:48 Line: 11, : Request start: ::1
2024-07-04 15:55:48 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 5
2024-07-04 15:55:48 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: ::1
2024-07-04 15:55:57 Line: 11, : Request start: ::1
2024-07-04 15:55:57 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 5
2024-07-04 15:55:57 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: ::1
2024-07-04 15:56:02 Line: 11, : Request start: ::1
2024-07-04 15:56:02 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 5
2024-07-04 15:56:02 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: ::1
2024-07-04 18:22:43 Line: 11, : Request start: ::1
2024-07-04 18:22:44 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 5
2024-07-04 18:22:44 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: ::1
2024-07-04 18:22:58 Line: 11, : Request start: ::1
2024-07-04 18:22:58 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 5
2024-07-04 18:22:58 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: ::1
2024-07-04 18:23:02 Line: 11, : Request start: ::1
2024-07-04 18:23:02 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2024-07-04 18:23:02 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: ::1
2024-07-04 18:23:40 Line: 11, : Request start: ::1
